domain, index, method, duration (ms), median f
SAT, 0, Adap-HH, 600000, 3.0
SAT, 0, FS-ILS, 600000, 2.0
SAT, 0, NR-FS-ILS, 600000, 2.0
SAT, 0, EPH, 600000, 14.0
SAT, 0, AA-HH, 600000, 177.0
SAT, 0, ANW-HH, 600000, 47.0
SAT, 1, Adap-HH, 600000, 24.0
SAT, 1, FS-ILS, 600000, 21.0
SAT, 1, NR-FS-ILS, 600000, 22.0
SAT, 1, EPH, 600000, 32.0
SAT, 1, AA-HH, 600000, 187.0
SAT, 1, ANW-HH, 600000, 63.0
SAT, 2, Adap-HH, 600000, 19.0
SAT, 2, FS-ILS, 600000, 16.0
SAT, 2, NR-FS-ILS, 600000, 17.0
SAT, 2, EPH, 600000, 25.0
SAT, 2, AA-HH, 600000, 182.0
SAT, 2, ANW-HH, 600000, 58.0
SAT, 3, Adap-HH, 600000, 3.0
SAT, 3, FS-ILS, 600000, 2.0
SAT, 3, NR-FS-ILS, 600000, 3.0
SAT, 3, EPH, 600000, 9.0
SAT, 3, AA-HH, 600000, 90.0
SAT, 3, ANW-HH, 600000, 37.0
SAT, 4, Adap-HH, 600000, 2.0
SAT, 4, FS-ILS, 600000, 1.0
SAT, 4, NR-FS-ILS, 600000, 2.0
SAT, 4, EPH, 600000, 6.0
SAT, 4, AA-HH, 600000, 100.0
SAT, 4, ANW-HH, 600000, 45.0
SAT, 5, Adap-HH, 600000, 5.0
SAT, 5, FS-ILS, 600000, 3.0
SAT, 5, NR-FS-ILS, 600000, 3.0
SAT, 5, EPH, 600000, 14.0
SAT, 5, AA-HH, 600000, 170.0
SAT, 5, ANW-HH, 600000, 67.0
SAT, 6, Adap-HH, 600000, 5.0
SAT, 6, FS-ILS, 600000, 5.0
SAT, 6, NR-FS-ILS, 600000, 6.0
SAT, 6, EPH, 600000, 8.0
SAT, 6, AA-HH, 600000, 24.0
SAT, 6, ANW-HH, 600000, 19.0
SAT, 7, Adap-HH, 600000, 5.0
SAT, 7, FS-ILS, 600000, 5.0
SAT, 7, NR-FS-ILS, 600000, 6.0
SAT, 7, EPH, 600000, 8.0
SAT, 7, AA-HH, 600000, 23.0
SAT, 7, ANW-HH, 600000, 19.0
SAT, 8, Adap-HH, 600000, 8.0
SAT, 8, FS-ILS, 600000, 8.0
SAT, 8, NR-FS-ILS, 600000, 9.0
SAT, 8, EPH, 600000, 12.0
SAT, 8, AA-HH, 600000, 36.0
SAT, 8, ANW-HH, 600000, 24.0
SAT, 9, Adap-HH, 600000, 213.0
SAT, 9, FS-ILS, 600000, 211.0
SAT, 9, NR-FS-ILS, 600000, 211.0
SAT, 9, EPH, 600000, 215.0
SAT, 9, AA-HH, 600000, 295.0
SAT, 9, ANW-HH, 600000, 243.0
SAT, 10, Adap-HH, 600000, 2.0
SAT, 10, FS-ILS, 600000, 1.0
SAT, 10, NR-FS-ILS, 600000, 1.0
SAT, 10, EPH, 600000, 12.0
SAT, 10, AA-HH, 600000, 145.0
SAT, 10, ANW-HH, 600000, 42.0
SAT, 11, Adap-HH, 600000, 8.0
SAT, 11, FS-ILS, 600000, 8.0
SAT, 11, NR-FS-ILS, 600000, 9.0
SAT, 11, EPH, 600000, 12.0
SAT, 11, AA-HH, 600000, 36.0
SAT, 11, ANW-HH, 600000, 24.0
BinPacking, 0, Adap-HH, 600000, 0.0028426622110832023
BinPacking, 0, FS-ILS, 600000, 0.007607333333333077
BinPacking, 0, NR-FS-ILS, 600000, 0.007418444444444061
BinPacking, 0, EPH, 600000, 0.005963777777777901
BinPacking, 0, AA-HH, 600000, 0.0670771051923581
BinPacking, 0, ANW-HH, 600000, 0.011220836796896116
BinPacking, 1, Adap-HH, 600000, 0.0036177339901476424
BinPacking, 1, FS-ILS, 600000, 0.0077881517881516205
BinPacking, 1, NR-FS-ILS, 600000, 0.007627190827190433
BinPacking, 1, EPH, 600000, 0.003608100711548823
BinPacking, 1, AA-HH, 600000, 0.06345945372579931
BinPacking, 1, ANW-HH, 600000, 0.011539215686274251
BinPacking, 2, Adap-HH, 600000, 0.02118690322580674
BinPacking, 2, FS-ILS, 600000, 0.022828774193548673
BinPacking, 2, NR-FS-ILS, 600000, 0.023270258064516436
BinPacking, 2, EPH, 600000, 0.020296000000000203
BinPacking, 2, AA-HH, 600000, 0.02941567741935558
BinPacking, 2, ANW-HH, 600000, 0.028170677419355084
BinPacking, 3, Adap-HH, 600000, 0.020825049180328126
BinPacking, 3, FS-ILS, 600000, 0.024272950819672512
BinPacking, 3, NR-FS-ILS, 600000, 0.024044098360656352
BinPacking, 3, EPH, 600000, 0.01969419672131134
BinPacking, 3, AA-HH, 600000, 0.03265990163934385
BinPacking, 3, ANW-HH, 600000, 0.02681868852459013
BinPacking, 4, Adap-HH, 600000, 0.0045631294215561224
BinPacking, 4, FS-ILS, 600000, 0.004570120682479972
BinPacking, 4, NR-FS-ILS, 600000, 0.004560799001248506
BinPacking, 4, EPH, 600000, 3.463659147868725E-4
BinPacking, 4, AA-HH, 600000, 0.02184568360181771
BinPacking, 4, ANW-HH, 600000, 3.4603174603164977E-4
BinPacking, 5, Adap-HH, 600000, 0.00332441140024764
BinPacking, 5, FS-ILS, 600000, 0.0037120198265180315
BinPacking, 5, NR-FS-ILS, 600000, 0.0037890128046259575
BinPacking, 5, EPH, 600000, 0.0031449814126394138
BinPacking, 5, AA-HH, 600000, 0.023725653594771523
BinPacking, 5, ANW-HH, 600000, 0.003301280462618794
BinPacking, 6, Adap-HH, 600000, 0.01560878338278926
BinPacking, 6, FS-ILS, 600000, 0.015052575667655832
BinPacking, 6, NR-FS-ILS, 600000, 0.0110469642857145
BinPacking, 6, EPH, 600000, 0.020939242603551178
BinPacking, 6, AA-HH, 600000, 0.18291909973045828
BinPacking, 6, ANW-HH, 600000, 0.014861566765578704
BinPacking, 7, Adap-HH, 600000, 0.029421128129601404
BinPacking, 7, FS-ILS, 600000, 0.02944364653902909
BinPacking, 7, NR-FS-ILS, 600000, 0.027072598820059524
BinPacking, 7, EPH, 600000, 0.04551637664233499
BinPacking, 7, AA-HH, 600000, 0.18252569770580185
BinPacking, 7, ANW-HH, 600000, 0.01592609792284716
BinPacking, 8, Adap-HH, 600000, 0.12399986801584206
BinPacking, 8, FS-ILS, 600000, 0.05207330586081249
BinPacking, 8, NR-FS-ILS, 600000, 0.05225004578755443
BinPacking, 8, EPH, 600000, 0.060366955332734284
BinPacking, 8, AA-HH, 600000, 0.12287475770925216
BinPacking, 8, ANW-HH, 600000, 0.051562500000007394
BinPacking, 9, Adap-HH, 600000, 0.01135383314544336
BinPacking, 9, FS-ILS, 600000, 0.015539876265475372
BinPacking, 9, NR-FS-ILS, 600000, 0.014454530106929986
BinPacking, 9, EPH, 600000, 0.01015730400451853
BinPacking, 9, AA-HH, 600000, 0.04067123820101459
BinPacking, 9, ANW-HH, 600000, 0.015661023622056014
BinPacking, 10, Adap-HH, 600000, 0.10832890677397611
BinPacking, 10, FS-ILS, 600000, 0.1086054996646525
BinPacking, 10, NR-FS-ILS, 600000, 0.10856892465906431
BinPacking, 10, EPH, 600000, 0.1086046948356778
BinPacking, 10, AA-HH, 600000, 0.12630737404070425
BinPacking, 10, ANW-HH, 600000, 0.1084625978090753
BinPacking, 11, Adap-HH, 600000, 0.031986607142879264
BinPacking, 11, FS-ILS, 600000, 0.02168474128829001
BinPacking, 11, NR-FS-ILS, 600000, 0.02071193872161914
BinPacking, 11, EPH, 600000, 0.019702484143775068
BinPacking, 11, AA-HH, 600000, 0.0663843733883589
BinPacking, 11, ANW-HH, 600000, 0.026593312269629243
FlowShop, 0, Adap-HH, 600000, 6289.0
FlowShop, 0, FS-ILS, 600000, 6278.0
FlowShop, 0, NR-FS-ILS, 600000, 6268.0
FlowShop, 0, EPH, 600000, 6289.0
FlowShop, 0, AA-HH, 600000, 6389.0
FlowShop, 0, ANW-HH, 600000, 6392.0
FlowShop, 1, Adap-HH, 600000, 6242.0
FlowShop, 1, FS-ILS, 600000, 6242.0
FlowShop, 1, NR-FS-ILS, 600000, 6236.0
FlowShop, 1, EPH, 600000, 6257.0
FlowShop, 1, AA-HH, 600000, 6336.0
FlowShop, 1, ANW-HH, 600000, 6348.0
FlowShop, 2, Adap-HH, 600000, 6321.0
FlowShop, 2, FS-ILS, 600000, 6323.0
FlowShop, 2, NR-FS-ILS, 600000, 6318.0
FlowShop, 2, EPH, 600000, 6337.0
FlowShop, 2, AA-HH, 600000, 6411.0
FlowShop, 2, ANW-HH, 600000, 6406.0
FlowShop, 3, Adap-HH, 600000, 6323.0
FlowShop, 3, FS-ILS, 600000, 6325.0
FlowShop, 3, NR-FS-ILS, 600000, 6326.0
FlowShop, 3, EPH, 600000, 6326.0
FlowShop, 3, AA-HH, 600000, 6392.0
